source_side,target_side,source_label,target_label,source_display,target_display,theme,score,semantic_score,source_importance,target_importance,priority_score,link_type
policy,demand,港航工程建设能力,船舶建造项目生产管理能力,港航工程建设,船舶项目管理,船舶海工,0.289051,0.289051,0.923140,1.000000,1.879012,rule
demand,supply,船舶建造项目生产管理能力,船舶轮机能力,船舶项目管理,船舶轮机,船舶海工,0.351476,0.351476,1.000000,0.560735,1.545964,rule
demand,supply,船舶建造项目生产管理能力,工程项目管理能力,船舶项目管理,工程项目管理,治理培养,0.480000,0.480000,1.000000,0.476572,1.519143,manual
policy,demand,港航工程建设能力,港口航道水运工程能力,港航工程建设,港航工程,港航交通,0.515719,0.515719,0.923140,0.535331,1.508376,manual
policy,demand,港航工程建设能力,船舶制造工艺施工能力,港航工程建设,船舶制造施工,船舶海工,0.272460,0.272460,0.923140,0.573345,1.470703,rule
demand,supply,低频跨域专业综合能力,科研实践能力,跨域综合,科研实践,治理培养,0.249394,0.249394,0.273802,1.000000,1.255003,rule
demand,supply,船舶质量检验检测能力,工程伦理安全能力,船舶质量检测,工程伦理安全,治理培养,0.480000,0.480000,0.458496,0.699879,1.216857,manual
demand,supply,仿真建模与现代工程工具能力,软件开发能力,仿真建模工具,软件开发,数字智能,0.259598,0.259598,0.440345,0.788837,1.214451,rule
policy,demand,现代渔业能力,水产养殖渔业技术能力,现代渔业,水产养殖,水产生物,0.564766,0.564766,0.936682,0.170539,1.183518,manual
demand,supply,仿真建模与现代工程工具能力,海洋数据分析能力,仿真建模工具,海洋数据分析,数字智能,0.263081,0.263081,0.440345,0.754823,1.182765,rule
demand,supply,船舶设计研发能力,船舶轮机能力,船舶设计研发,船舶轮机,船舶海工,0.408288,0.408288,0.571137,0.560735,1.148771,rule
demand,supply,船舶制造工艺施工能力,船舶轮机能力,船舶制造施工,船舶轮机,船舶海工,0.372460,0.372460,0.573345,0.560735,1.144419,rule
policy,demand,海洋数智平台能力,仿真建模与现代工程工具能力,海洋数智平台,仿真建模工具,数字智能,0.480000,0.480000,0.633135,0.440345,1.136207,manual
policy,demand,船舶海工制造能力,船舶制造工艺施工能力,船舶海工制造,船舶制造施工,船舶海工,0.634278,0.634278,0.443940,0.573345,1.110591,manual
policy,demand,现代渔业能力,海洋生物生态保育能力,现代渔业,海洋生物生态,水产生物,0.236971,0.236971,0.936682,0.132099,1.057997,rule
policy,demand,港航物流服务能力,港航物流与航运业务能力,港航物流服务,港航物流业务,港航交通,0.734176,0.734176,0.472779,0.461026,1.049267,manual
