side,code,cluster_label,display_label,category,theme,item_count,unit_count,x,y
policy,F1,现代渔业能力,现代渔业,生物渔业,水产生物,396,158,0.691578,0.808005
policy,C1,海洋数智平台能力,海洋数智平台,监测数据,数字智能,316,135,0.468103,0.785190
policy,B1,海洋环境治理能力,海洋环境治理,生态空间,生态环境,314,144,0.603799,0.783966
policy,D3,港航工程建设能力,港航工程建设,工程装备,船舶海工,298,161,0.162236,0.745135
policy,G1,海洋经济规划能力,海洋经济规划,科技产业,治理培养,290,162,0.854799,0.664030
policy,B2,海洋生态修复能力,海洋生态修复,生态空间,生态环境,241,138,0.577386,0.656024
policy,D1,船舶海工制造能力,船舶海工制造,工程装备,船舶海工,232,113,0.154172,0.673442
policy,D2,海工装备制造能力,海工装备制造,工程装备,船舶海工,217,140,0.164837,0.779211
policy,E1,港航物流服务能力,港航物流服务,港航交通,港航交通,203,115,0.225713,0.782833
policy,G2,海洋科技转化能力,海洋科技转化,科技产业,治理培养,194,72,0.756998,0.704523
policy,A3,深海资源开发能力,深海资源开发,资源能源,能源资源,187,103,0.356816,0.694207
policy,F3,海洋生物生态能力,海洋生物生态,生物渔业,水产生物,187,127,0.676998,0.658018
policy,H1,海洋平台服务能力,海洋平台服务,治理服务,治理培养,181,89,0.788871,0.665783
policy,A1,海洋能开发能力,海洋能开发,资源能源,能源资源,167,91,0.354803,0.782908
policy,B3,海岸带治理能力,海岸带治理,生态空间,生态环境,148,72,0.553371,0.775749
policy,A2,海上风电运维能力,海上风电运维,资源能源,能源资源,137,95,0.315579,0.671081
policy,H2,海洋人才培养能力,海洋人才培养,治理服务,治理培养,137,91,0.805150,0.755980
policy,G3,科技成果转化能力,科技成果转化,科技产业,治理培养,109,63,0.866545,0.766461
policy,A4,海洋材料高值化能力,海洋材料高值化,资源能源,能源资源,108,69,0.329166,0.757719
policy,G4,海洋技术攻关能力,海洋技术攻关,科技产业,治理培养,102,53,0.797463,0.705751
policy,H7,海洋治理支撑能力,海洋治理支撑,治理服务,治理培养,101,68,0.886623,0.796465
policy,H8,跨域海洋综合能力,跨域海洋综合,治理服务,治理培养,81,55,0.820404,0.811630
policy,H5,海洋文旅服务能力,海洋文旅服务,治理服务,治理培养,78,50,0.905000,0.755161
policy,C2,海洋调查观测能力,海洋调查观测,监测数据,数字智能,67,52,0.429980,0.673362
policy,G5,科创平台服务能力,科创平台服务,科技产业,治理培养,64,48,0.776574,0.774403
policy,H3,海洋开放治理能力,海洋开放治理,治理服务,治理培养,61,46,0.852273,0.700884
policy,A5,海洋低碳治理能力,海洋低碳治理,资源能源,能源资源,58,32,0.330606,0.813233
policy,H4,海洋法规执法能力,海洋法规执法,治理服务,治理培养,57,39,0.853154,0.802452
policy,B4,海洋防灾评估能力,海洋防灾评估,生态空间,生态环境,56,50,0.544466,0.713942
policy,C6,深海极地科考能力,深海极地科考,监测数据,数字智能,55,44,0.481814,0.745455
policy,C4,海洋气象预报能力,海洋气象预报,监测数据,数字智能,48,37,0.436450,0.756499
policy,G7,海洋检测认证能力,海洋检测认证,科技产业,治理培养,41,30,0.833551,0.774672
policy,G6,海洋未来产业能力,海洋未来产业,科技产业,治理培养,40,30,0.878029,0.734459
policy,E2,海事安全监管能力,海事安全监管,港航交通,港航交通,38,33,0.260701,0.682872
policy,G8,沿海区域协同能力,沿海区域协同,科技产业,治理培养,34,26,0.746829,0.790872
policy,B5,海洋资源资产能力,海洋资源资产,生态空间,生态环境,32,28,0.597066,0.734223
policy,F4,海洋生物医药能力,海洋生物医药,生物渔业,水产生物,31,27,0.694613,0.729059
policy,C3,海洋遥感测绘能力,海洋遥感测绘,监测数据,数字智能,26,23,0.457882,0.714026
policy,G9,海洋金融服务能力,海洋金融服务,科技产业,治理培养,16,12,0.905000,0.672302
policy,B7,涉海水务韧性能力,涉海水务韧性,生态空间,生态环境,16,11,0.606984,0.677146
policy,D4,陆海联运设施能力,陆海联运设施,工程装备,船舶海工,9,8,0.199235,0.692180
policy,F2,水产加工冷链能力,水产加工冷链,生物渔业,水产生物,7,7,0.660927,0.739971
policy,C5,海底地质探测能力,海底地质探测,监测数据,数字智能,7,7,0.466048,0.675166
policy,E3,海洋权益安全能力,海洋权益安全,港航交通,港航交通,3,3,0.225254,0.732961
policy,H6,海洋战略治理能力,海洋战略治理,治理服务,治理培养,3,3,0.822055,0.673187
policy,B6,自然资源资产能力,自然资源资产,生态空间,生态环境,3,3,0.625119,0.707175
demand,A1,船舶建造项目生产管理能力,船舶项目管理,船舶工程,船舶海工,347,301,0.252059,0.562551
demand,C1,港口航道水运工程能力,港航工程,港航交通,港航交通,248,193,0.331274,0.543444
demand,A2,船舶制造工艺施工能力,船舶制造施工,船舶工程,船舶海工,172,155,0.169205,0.570136
demand,B1,海上风电工程能力,海上风电,海工能源,能源资源,149,100,0.427260,0.503599
demand,A3,船舶设计研发能力,船舶设计研发,船舶工程,船舶海工,129,113,0.202012,0.498017
demand,A4,船舶运营安全管理能力,船舶运营安全,船舶工程,船舶海工,117,96,0.180372,0.471792
demand,D1,仿真建模与现代工程工具能力,仿真建模工具,数字智能,数字智能,116,110,0.526824,0.435490
demand,A5,船舶质量检验检测能力,船舶质量检测,船舶工程,船舶海工,103,91,0.215784,0.452500
demand,B2,海洋工程项目建设管理能力,海工项目管理,海工能源,能源资源,100,70,0.421652,0.453401
demand,A6,船舶建造制造与质量能力,船舶建造质量,船舶工程,船舶海工,76,71,0.198820,0.423034
demand,B3,海洋工程装备设计制造能力,海工装备制造,海工能源,能源资源,74,53,0.406580,0.549453
demand,C2,港航物流与航运业务能力,港航物流业务,港航交通,港航交通,73,58,0.298592,0.558791
demand,A7,船舶修造维护与设备保障能力,船舶修造维护,船舶工程,船舶海工,65,62,0.135940,0.432532
demand,B4,海洋能源工程能力,海洋能源工程,海工能源,能源资源,63,57,0.442690,0.546416
demand,D2,人工智能与数据分析能力,AI数据分析,数字智能,数字智能,60,49,0.562854,0.433228
demand,A8,船舶焊接涂装装配能力,船舶焊装涂装,船舶工程,船舶海工,59,50,0.213776,0.529916
demand,D3,软件研发与信息系统能力,软件信息系统,数字智能,数字智能,57,46,0.546830,0.548623
demand,H1,低频跨域专业综合能力,跨域综合,通用素养服务,治理培养,54,52,0.844354,0.558724
demand,A9,船舶市场商务与供应链能力,船舶商务供应链,船舶工程,船舶海工,51,43,0.148936,0.505735
demand,D4,水声声学与海洋通信技术能力,水声通信,数字智能,数字智能,38,32,0.526136,0.504640
demand,A10,船舶电气自动化能力,船舶电气,船舶工程,船舶海工,32,27,0.249759,0.500360
demand,A11,船舶管系舾装工程能力,船舶管系舾装,船舶工程,船舶海工,32,29,0.215482,0.567027
demand,F1,水产养殖渔业技术能力,水产养殖,水产生态食品,水产生物,30,26,0.708532,0.484636
demand,G1,工程管理经济质量能力,工程管理,工程基础支撑,治理培养,26,26,0.799622,0.466314
demand,E1,海洋环境监测评价治理能力,海洋环境治理,海洋科学环境,生态环境,22,17,0.659400,0.536897
demand,E2,海洋调查观测测绘能力,海洋观测测绘,海洋科学环境,生态环境,20,16,0.645515,0.430999
demand,D5,电子通信与自动控制能力,电子通信控制,数字智能,数字智能,19,17,0.563946,0.482067
demand,A12,船舶轮机动力能力,船舶轮机,船舶工程,船舶海工,19,17,0.169179,0.439688
demand,F2,海洋生物生态保育能力,海洋生物生态,水产生态食品,水产生物,18,12,0.766164,0.451580
demand,D6,海洋信息智能数据能力,海洋智能数据,数字智能,数字智能,16,13,0.514869,0.472494
demand,H2,团队沟通国际化能力,团队沟通,通用素养服务,治理培养,15,15,0.866553,0.441718
demand,H3,海洋文化场馆与科普服务能力,海洋科普服务,通用素养服务,治理培养,14,7,0.831381,0.431003
demand,G2,机械材料能源动力能力,机械能源动力,工程基础支撑,能源资源,12,9,0.391602,0.474510
demand,D7,数字化工具与软件应用能力,数字软件工具,数字智能,数字智能,11,11,0.513879,0.571435
demand,F3,水产品加工质量与市场服务能力,水产加工服务,水产生态食品,水产生物,11,11,0.748848,0.487980
demand,B5,风电装备物流运输能力,风电物流运输,海工能源,能源资源,11,8,0.471769,0.528680
demand,C3,海事法律监管能力,海事法律监管,港航交通,港航交通,9,9,0.292821,0.480796
demand,G3,工程伦理安全可持续能力,工程伦理安全,工程基础支撑,治理培养,8,8,0.827324,0.518557
demand,A13,船舶通导与智能系统能力,船舶通导系统,船舶工程,船舶海工,7,7,0.155208,0.539151
demand,G4,土木交通水利工程能力,土木交通水利,工程基础支撑,治理培养,6,6,0.875573,0.505966
demand,G5,工程基础与问题分析能力,工程问题分析,工程基础支撑,治理培养,5,5,0.860977,0.475258
demand,E3,海洋地质地球物理能力,海洋地质物理,海洋科学环境,生态环境,5,5,0.625834,0.469054
demand,H4,科研实验创新实践能力,科研实验实践,通用素养服务,治理培养,5,5,0.797415,0.502178
demand,E4,物理海洋气象分析能力,物理海洋气象,海洋科学环境,生态环境,4,4,0.669835,0.500494
demand,C4,航海驾驶与通导操作能力,航海通导操作,港航交通,港航交通,4,4,0.326758,0.484816
demand,H5,文献写作与教育教学能力,文献教学,通用素养服务,治理培养,1,1,0.805467,0.544600
demand,E5,环境工程治理能力,环境工程治理,海洋科学环境,生态环境,1,1,0.615893,0.573148
supply,H1,科研实践能力,科研实践,通用素养服务,治理培养,199,102,0.815220,0.214870
supply,A1,船舶轮机能力,船舶轮机,船舶工程,船舶海工,186,24,0.188485,0.334483
supply,C1,航海通导能力,航海通导,港航交通,港航交通,184,21,0.280949,0.205509
supply,H2,团队协作能力,团队协作,通用素养服务,治理培养,165,95,0.819922,0.333974
supply,D1,电子控制能力,电子控制,数字智能,数字智能,137,30,0.508135,0.300585
supply,D2,海洋数据分析能力,海洋数据分析,数字智能,数字智能,116,62,0.458020,0.215007
supply,C2,港航物流能力,港航物流,港航交通,港航交通,111,16,0.325389,0.306752
supply,E1,海洋环境修复能力,海洋环境修复,海洋科学环境,生态环境,103,41,0.613204,0.191981
supply,F1,水产养殖能力,水产养殖,水产生态食品,水产生物,101,14,0.693941,0.304460
supply,D3,软件开发能力,软件开发,数字智能,数字智能,98,56,0.442923,0.273463
supply,G1,机械动力基础能力,机械动力基础,工程基础支撑,治理培养,94,29,0.878980,0.214095
supply,G2,工程伦理安全能力,工程伦理安全,工程基础支撑,治理培养,89,50,0.905000,0.246565
supply,H3,终身学习能力,终身学习,通用素养服务,治理培养,86,55,0.833066,0.278641
supply,D4,仿真建模能力,仿真建模,数字智能,数字智能,76,47,0.462218,0.311619
supply,C3,港航工程能力,港航工程,港航交通,港航交通,75,26,0.283986,0.244259
supply,G3,工程项目管理能力,工程项目管理,工程基础支撑,治理培养,65,43,0.867002,0.276551
supply,G4,数理基础能力,数理基础,工程基础支撑,治理培养,61,35,0.757818,0.221368
supply,F2,海洋生物技术能力,海洋生物技术,水产生态食品,水产生物,60,24,0.704711,0.221583
supply,F3,海洋生物调查能力,海洋生物调查,水产生态食品,水产生物,59,25,0.658404,0.211526
supply,E2,海洋观测测绘能力,海洋观测测绘,海洋科学环境,生态环境,57,36,0.611827,0.339150
supply,G5,船海工程基础能力,船海工程基础,工程基础支撑,船舶海工,57,17,0.197591,0.246939
supply,A2,船舶电气能力,船舶电气,船舶工程,船舶海工,57,18,0.158966,0.306793
supply,F4,水产食品检验能力,水产食品检验,水产生态食品,水产生物,56,18,0.677760,0.268569
supply,E3,海洋科学基础能力,海洋科学基础,海洋科学环境,生态环境,55,27,0.559318,0.334538
supply,H4,学术表达能力,学术表达,通用素养服务,治理培养,50,42,0.844978,0.198426
supply,B1,海工装备设计能力,海工装备设计,海工能源,能源资源,39,20,0.357791,0.208557
supply,A3,船舶运营法规能力,船舶运营法规,船舶工程,船舶海工,38,19,0.194796,0.188242
supply,D5,水声通信能力,水声通信,数字智能,数字智能,33,17,0.499553,0.224860
supply,H5,跨域课程能力,跨域课程,通用素养服务,治理培养,27,14,0.778258,0.187391
supply,B2,海洋能源工程能力,海洋能源工程,海工能源,能源资源,26,13,0.391717,0.238756
supply,G6,土木水利基础能力,土木水利基础,工程基础支撑,治理培养,23,9,0.808297,0.301933
supply,G7,工程制图能力,工程制图,工程基础支撑,治理培养,22,18,0.852785,0.241332
supply,E4,物理海洋能力,物理海洋,海洋科学环境,生态环境,21,14,0.617471,0.285897
supply,F5,水产病害防控能力,水产病害防控,水产生态食品,水产生物,20,10,0.712447,0.268742
supply,E5,化学海洋能力,化学海洋,海洋科学环境,生态环境,17,13,0.573199,0.283684
supply,E6,海洋地质能力,海洋地质,海洋科学环境,生态环境,17,9,0.556425,0.253583
supply,A4,船舶总体设计能力,船舶总体设计,船舶工程,船舶海工,16,12,0.186736,0.280864
supply,A5,船舶结构工艺能力,船舶结构工艺,船舶工程,船舶海工,8,8,0.125000,0.323673
supply,B3,海工施工运维能力,海工施工运维,海工能源,能源资源,5,5,0.379649,0.274345
supply,H6,科普服务能力,科普服务,通用素养服务,治理培养,1,1,0.844734,0.310728
supply,C4,智慧港口能力,智慧港口,港航交通,港航交通,1,1,0.278496,0.320866
